lat;lon ;RR ; Wet_Climat_Freq
3.65;35.8;0.13;0.00
3.65;40.05;0.00;0.63
3.65;40.1;0.00;0.50
3.65;40.15;0.00;0.50
3.65;40.2;0.00;0.50
3.65;40.25;0.00;0.63
3.65;40.3;0.00;0.50
3.65;40.35;0.00;0.63
3.65;40.6;0.00;0.63
3.65;40.65;0.00;0.50
3.65;40.7;0.00;0.50
3.65;40.75;0.00;0.38
3.65;40.8;0.00;0.25
3.65;40.85;0.00;0.13
3.65;40.9;0.00;0.25
3.65;40.95;0.00;0.13
3.6;35.85;0.38;0.00
3.6;35.9;0.38;0.00
3.6;36;0.38;0.00
3.6;40.25;0.38;0.13
3.6;40.3;0.38;0.13
3.6;40.4;0.38;0.13
3.6;40.5;0.38;0.13
3.6;40.55;0.38;0.13
3.6;34.95;0.25;0.00
3.6;35.15;0.25;0.00
3.6;35.2;0.25;0.00
3.6;35.3;0.25;0.00
3.6;35.4;0.25;0.00
3.6;35.8;0.25;0.00
3.6;35.95;0.25;0.00
3.6;40.35;0.25;0.13
3.6;40.45;0.25;0.13
3.6;35.1;0.13;0.00
3.6;35.25;0.13;0.00
3.6;35.35;0.13;0.00
3.6;35.45;0.13;0.00
3.6;35.5;0.13;0.00
3.6;35.55;0.13;0.00
3.6;35.6;0.13;0.00
3.6;35.65;0.13;0.00
3.6;35.7;0.13;0.00
3.6;35.75;0.13;0.00
3.6;40;0.00;0.63
3.6;40.05;0.00;0.63
3.6;40.1;0.00;0.50
3.6;40.15;0.00;0.50
3.6;40.2;0.00;0.63
3.6;40.6;0.00;0.50
3.6;40.65;0.00;0.50
3.6;40.7;0.00;0.50
3.6;40.75;0.00;0.38
3.6;40.8;0.00;0.25
3.6;40.85;0.00;0.13
3.6;40.9;0.00;0.25
3.6;40.95;0.00;0.13
3.55;35.9;0.38;0.00
3.55;35.95;0.38;0.00
3.55;36;0.38;0.00
3.55;36.05;0.38;0.00
3.55;40.2;0.38;0.13
3.55;40.25;0.38;0.13
3.55;40.4;0.38;0.13
3.55;40.45;0.38;0.13
3.55;40.5;0.38;0.13
3.55;40.55;0.38;0.13
3.55;35.05;0.25;0.00
3.55;35.4;0.25;0.00
3.55;35.8;0.25;0.00
3.55;35.85;0.25;0.00
3.55;40.3;0.25;0.13
3.55;40.35;0.25;0.13
3.55;35.1;0.13;0.00
3.55;35.15;0.13;0.00
3.55;35.2;0.13;0.00
3.55;35.25;0.13;0.00
3.55;35.3;0.13;0.00
3.55;35.35;0.13;0.00
3.55;35.45;0.13;0.00
3.55;35.5;0.13;0.00
3.55;35.55;0.13;0.00
3.55;35.6;0.13;0.00
3.55;35.65;0.13;0.00
3.55;35.7;0.13;0.00
3.55;35.75;0.13;0.00
3.55;39.95;0.00;0.63
3.55;40;0.00;0.63
3.55;40.05;0.00;0.63
3.55;40.1;0.00;0.50
3.55;40.15;0.00;0.50
3.55;40.6;0.00;0.63
3.55;40.65;0.00;0.50
3.55;40.7;0.00;0.38
3.55;40.75;0.00;0.25
3.55;40.8;0.00;0.13
3.55;40.85;0.00;0.13
3.55;40.9;0.00;0.50
3.55;40.95;0.00;0.38
3.55;41;0.00;0.50
3.55;41.05;0.00;0.38
3.5;36.05;0.63;0.00
3.5;35.9;0.38;0.00
3.5;35.95;0.38;0.00
3.5;36;0.38;0.00
3.5;36.1;0.38;0.00
3.5;36.15;0.38;0.00
3.5;40.2;0.38;0.13
3.5;40.6;0.38;0.13
3.5;35.8;0.25;0.00
3.5;35.85;0.25;0.00
3.5;40.25;0.25;0.13
3.5;40.3;0.25;0.13
3.5;40.35;0.25;0.13
3.5;40.4;0.25;0.13
3.5;40.45;0.25;0.13
3.5;40.5;0.25;0.13
3.5;40.55;0.25;0.13
3.5;35.1;0.13;0.00
3.5;35.15;0.13;0.00
3.5;35.2;0.13;0.00
3.5;35.25;0.13;0.00
3.5;35.3;0.13;0.00
3.5;35.35;0.13;0.00
3.5;35.4;0.13;0.00
3.5;35.45;0.13;0.00
3.5;35.5;0.13;0.00
3.5;35.55;0.13;0.00
3.5;35.6;0.13;0.00
3.5;35.65;0.13;0.00
3.5;35.7;0.13;0.00
3.5;35.75;0.13;0.00
3.5;39.9;0.00;0.50
3.5;39.95;0.00;0.63
3.5;40;0.00;0.63
3.5;40.05;0.00;0.63
3.5;40.1;0.00;0.63
3.5;40.15;0.00;0.63
3.5;40.65;0.00;0.63
3.5;40.7;0.00;0.38
3.5;40.75;0.00;0.38
3.5;40.8;0.00;0.50
3.5;40.85;0.00;0.50
3.5;40.9;0.00;0.50
3.5;40.95;0.00;0.50
3.5;41;0.00;0.38
3.5;41.05;0.00;0.63
3.5;41.1;0.00;0.63
3.45;36.1;0.50;0.00
3.45;35.85;0.38;0.00
3.45;35.9;0.38;0.00
3.45;35.95;0.38;0.00
3.45;36;0.38;0.00
3.45;36.15;0.38;0.00
3.45;36.2;0.38;0.00
3.45;38.8;0.38;0.13
3.45;38.85;0.38;0.13
3.45;38.9;0.38;0.13
3.45;38.95;0.38;0.13
3.45;39;0.38;0.13
3.45;39.15;0.38;0.13
3.45;39.2;0.38;0.13
3.45;39.25;0.38;0.13
3.45;39.45;0.38;0.13
3.45;39.5;0.38;0.13
3.45;39.55;0.38;0.13
3.45;39.6;0.38;0.13
3.45;39.65;0.38;0.13
3.45;39.7;0.38;0.13
3.45;40.2;0.38;0.13
3.45;35.75;0.25;0.00
3.45;35.8;0.25;0.00
3.45;37.3;0.25;0.13
3.45;37.55;0.25;0.25
3.45;37.6;0.25;0.25
3.45;37.65;0.25;0.25
3.45;37.7;0.25;0.25
3.45;38.3;0.25;0.25
3.45;38.35;0.25;0.25
3.45;38.4;0.25;0.50
3.45;38.45;0.25;0.50
3.45;38.5;0.25;0.50
3.45;38.55;0.25;0.38
3.45;38.6;0.25;0.38
3.45;38.65;0.25;0.25
3.45;38.7;0.25;0.13
3.45;38.75;0.25;0.13
3.45;39.05;0.25;0.13
3.45;39.1;0.25;0.13
3.45;39.3;0.25;0.13
3.45;39.35;0.25;0.13
3.45;39.4;0.25;0.13
3.45;40.25;0.25;0.13
3.45;40.3;0.25;0.13
3.45;40.35;0.25;0.13
3.45;40.4;0.25;0.13
3.45;40.45;0.25;0.13
3.45;40.5;0.25;0.13
3.45;40.55;0.25;0.13
3.45;40.6;0.25;0.13
3.45;35.1;0.13;0.00
3.45;35.15;0.13;0.00
3.45;35.2;0.13;0.00
3.45;35.25;0.13;0.00
3.45;35.3;0.13;0.00
3.45;35.35;0.13;0.00
3.45;35.4;0.13;0.00
3.45;35.45;0.13;0.00
3.45;35.5;0.13;0.00
3.45;35.55;0.13;0.00
3.45;35.6;0.13;0.00
3.45;35.65;0.13;0.00
3.45;35.7;0.13;0.00
3.45;37.2;0.13;0.13
3.45;37.25;0.13;0.13
3.45;37.35;0.13;0.13
3.45;37.4;0.13;0.13
3.45;37.45;0.13;0.13
3.45;37.5;0.13;0.25
3.45;37.75;0.13;0.25
3.45;37.8;0.13;0.25
3.45;37.85;0.13;0.25
3.45;37.9;0.13;0.38
3.45;37.95;0.13;0.38
3.45;38;0.13;0.38
3.45;38.05;0.13;0.38
3.45;38.1;0.13;0.38
3.45;38.15;0.13;0.38
3.45;38.2;0.13;0.38
3.45;36.05;0.00;0.38
3.45;36.25;0.00;0.38
3.45;36.3;0.00;0.25
3.45;36.35;0.00;0.38
3.45;36.4;0.00;0.38
3.45;36.45;0.00;0.38
3.45;36.5;0.00;0.25
3.45;36.55;0.00;0.25
3.45;36.6;0.00;0.25
3.45;36.65;0.00;0.25
3.45;36.7;0.00;0.25
3.45;36.75;0.00;0.25
3.45;36.8;0.00;0.25
3.45;36.85;0.00;0.38
3.45;36.9;0.00;0.50
3.45;36.95;0.00;0.50
3.45;37;0.00;0.50
3.45;37.05;0.00;0.38
3.45;37.1;0.00;0.25
3.45;37.15;0.00;0.13
3.45;38.25;0.00;0.38
3.45;39.75;0.00;0.63
3.45;39.8;0.00;0.50
3.45;39.85;0.00;0.38
3.45;39.9;0.00;0.38
3.45;39.95;0.00;0.38
3.45;40;0.00;0.38
3.45;40.05;0.00;0.50
3.45;40.1;0.00;0.63
3.45;40.15;0.00;0.63
3.45;40.65;0.00;0.63
3.45;40.7;0.00;0.50
3.45;40.75;0.00;0.38
3.45;40.8;0.00;0.50
3.45;40.85;0.00;0.50
3.45;40.9;0.00;0.50
3.45;40.95;0.00;0.50
3.45;41;0.00;0.63
3.45;41.05;0.00;0.63
3.45;41.1;0.00;0.63
3.45;41.15;0.00;0.63
3.4;39.2;0.50;0.13
3.4;39.25;0.50;0.13
3.4;39.3;0.50;0.13
3.4;35.9;0.38;0.00
3.4;35.95;0.38;0.00
3.4;36;0.38;0.00
3.4;36.05;0.38;0.00
3.4;36.1;0.38;0.00
3.4;36.15;0.38;0.00
3.4;36.2;0.38;0.00
3.4;38.8;0.38;0.13
3.4;38.85;0.38;0.13
3.4;38.9;0.38;0.13
3.4;38.95;0.38;0.13
3.4;39;0.38;0.13
3.4;39.15;0.38;0.13
3.4;39.35;0.38;0.13
3.4;39.4;0.38;0.13
3.4;39.45;0.38;0.13
3.4;39.5;0.38;0.13
3.4;39.55;0.38;0.13
3.4;39.6;0.38;0.13
3.4;39.65;0.38;0.13
3.4;40.6;0.38;0.13
3.4;41.05;0.38;0.13
3.4;41.1;0.38;0.13
3.4;41.15;0.38;0.13
3.4;35;0.25;0.00
3.4;35.75;0.25;0.00
3.4;35.8;0.25;0.00
3.4;35.85;0.25;0.00
3.4;37.2;0.25;0.13
3.4;37.25;0.25;0.13
3.4;37.65;0.25;0.25
3.4;37.7;0.25;0.25
3.4;38.25;0.25;0.38
3.4;38.3;0.25;0.38
3.4;38.35;0.25;0.50
3.4;38.4;0.25;0.38
3.4;38.45;0.25;0.50
3.4;38.5;0.25;0.50
3.4;38.55;0.25;0.50
3.4;38.6;0.25;0.13
3.4;38.65;0.25;0.25
3.4;38.7;0.25;0.25
3.4;38.75;0.25;0.25
3.4;39.05;0.25;0.13
3.4;39.1;0.25;0.13
3.4;40.25;0.25;0.13
3.4;40.3;0.25;0.13
3.4;40.35;0.25;0.13
3.4;40.4;0.25;0.13
3.4;40.45;0.25;0.13
3.4;40.5;0.25;0.13
3.4;40.55;0.25;0.13
3.4;35.1;0.13;0.00
3.4;35.15;0.13;0.00
3.4;35.2;0.13;0.00
3.4;35.25;0.13;0.00
3.4;35.3;0.13;0.00
3.4;35.35;0.13;0.00
3.4;35.4;0.13;0.00
3.4;35.45;0.13;0.00
3.4;35.5;0.13;0.00
3.4;35.55;0.13;0.00
3.4;35.6;0.13;0.00
3.4;35.65;0.13;0.00
3.4;35.7;0.13;0.00
3.4;37.1;0.13;0.25
3.4;37.15;0.13;0.13
3.4;37.3;0.13;0.13
3.4;37.35;0.13;0.25
3.4;37.4;0.13;0.13
3.4;37.45;0.13;0.25
3.4;37.55;0.13;0.25
3.4;37.6;0.13;0.25
3.4;37.75;0.13;0.25
3.4;37.8;0.13;0.25
3.4;37.85;0.13;0.25
3.4;37.9;0.13;0.25
3.4;37.95;0.13;0.38
3.4;38;0.13;0.50
3.4;38.05;0.13;0.38
3.4;38.1;0.13;0.38
3.4;38.15;0.13;0.38
3.4;38.2;0.13;0.38
3.4;36.25;0.00;0.50
3.4;36.3;0.00;0.38
3.4;36.35;0.00;0.25
3.4;36.4;0.00;0.25
3.4;36.45;0.00;0.25
3.4;36.5;0.00;0.25
3.4;36.55;0.00;0.25
3.4;36.6;0.00;0.25
3.4;36.65;0.00;0.25
3.4;36.7;0.00;0.38
3.4;36.75;0.00;0.38
3.4;36.8;0.00;0.38
3.4;36.85;0.00;0.50
3.4;36.9;0.00;0.50
3.4;36.95;0.00;0.38
3.4;37;0.00;0.25
3.4;37.05;0.00;0.25
3.4;37.5;0.00;0.25
3.4;39.7;0.00;0.63
3.4;39.75;0.00;0.63
3.4;39.8;0.00;0.38
3.4;39.85;0.00;0.38
3.4;39.9;0.00;0.25
3.4;39.95;0.00;0.25
3.4;40;0.00;0.25
3.4;40.05;0.00;0.38
3.4;40.1;0.00;0.50
3.4;40.15;0.00;0.63
3.4;40.2;0.00;0.63
3.4;40.65;0.00;0.63
3.4;40.7;0.00;0.38
3.4;40.75;0.00;0.38
3.4;40.8;0.00;0.50
3.4;40.85;0.00;0.50
3.4;40.9;0.00;0.63
3.4;40.95;0.00;0.63
3.4;41;0.00;0.63
3.35;39.25;0.50;0.13
3.35;40.8;0.50;0.13
3.35;35.85;0.38;0.00
3.35;35.9;0.38;0.00
3.35;35.95;0.38;0.00
3.35;36;0.38;0.00
3.35;38.95;0.38;0.13
3.35;39;0.38;0.13
3.35;39.05;0.38;0.13
3.35;39.15;0.38;0.13
3.35;39.2;0.38;0.13
3.35;39.5;0.38;0.13
3.35;39.55;0.38;0.13
3.35;39.6;0.38;0.13
3.35;40.65;0.38;0.13
3.35;40.7;0.38;0.13
3.35;40.75;0.38;0.13
3.35;41.05;0.38;0.13
3.35;41.1;0.38;0.13
3.35;35;0.25;0.00
3.35;35.65;0.25;0.00
3.35;37.55;0.25;0.13
3.35;37.6;0.25;0.13
3.35;37.65;0.25;0.25
3.35;37.7;0.25;0.25
3.35;37.75;0.25;0.25
3.35;37.8;0.25;0.25
3.35;37.85;0.25;0.25
3.35;37.9;0.25;0.25
3.35;38;0.25;0.38
3.35;38.2;0.25;0.25
3.35;38.25;0.25;0.25
3.35;38.3;0.25;0.38
3.35;38.35;0.25;0.50
3.35;38.4;0.25;0.38
3.35;38.45;0.25;0.38
3.35;38.5;0.25;0.38
3.35;38.55;0.25;0.38
3.35;38.7;0.25;0.13
3.35;38.75;0.25;0.13
3.35;38.8;0.25;0.13
3.35;38.85;0.25;0.13
3.35;38.9;0.25;0.13
3.35;39.1;0.25;0.13
3.35;39.3;0.25;0.13
3.35;39.35;0.25;0.13
3.35;39.4;0.25;0.13
3.35;39.45;0.25;0.13
3.35;40.25;0.25;0.13
3.35;40.3;0.25;0.13
3.35;40.35;0.25;0.13
3.35;40.4;0.25;0.13
3.35;40.45;0.25;0.13
3.35;40.5;0.25;0.13
3.35;40.55;0.25;0.13
3.35;40.6;0.25;0.13
3.35;40.85;0.25;0.13
3.35;40.9;0.25;0.13
3.35;40.95;0.25;0.13
3.35;41;0.25;0.13
3.35;41.15;0.25;0.13
3.35;41.2;0.25;0.13
3.35;34.8;0.13;0.00
3.35;34.9;0.13;0.00
3.35;34.95;0.13;0.00
3.35;35.05;0.13;0.00
3.35;35.1;0.13;0.00
3.35;35.15;0.13;0.00
3.35;35.2;0.13;0.00
3.35;35.25;0.13;0.00
3.35;35.3;0.13;0.00
3.35;35.35;0.13;0.00
3.35;35.4;0.13;0.00
3.35;35.45;0.13;0.00
3.35;35.5;0.13;0.00
3.35;35.55;0.13;0.00
3.35;35.6;0.13;0.00
3.35;35.7;0.13;0.00
3.35;35.75;0.13;0.00
3.35;35.8;0.13;0.00
3.35;37.1;0.13;0.25
3.35;37.15;0.13;0.13
3.35;37.2;0.13;0.13
3.35;37.25;0.13;0.25
3.35;37.3;0.13;0.25
3.35;37.35;0.13;0.25
3.35;37.4;0.13;0.13
3.35;37.45;0.13;0.25
3.35;37.5;0.13;0.25
3.35;37.95;0.13;0.25
3.35;38.05;0.13;0.25
3.35;38.1;0.13;0.25
3.35;38.15;0.13;0.25
3.35;38.6;0.13;0.38
3.35;38.65;0.13;0.25
3.35;34.85;0.00;0.00
3.35;36.05;0.00;0.50
3.35;36.1;0.00;0.50
3.35;36.15;0.00;0.50
3.35;36.2;0.00;0.50
3.35;36.25;0.00;0.38
3.35;36.3;0.00;0.38
3.35;36.35;0.00;0.25
3.35;36.4;0.00;0.25
3.35;36.45;0.00;0.25
3.35;36.5;0.00;0.25
3.35;36.55;0.00;0.25
3.35;36.6;0.00;0.25
3.35;36.65;0.00;0.25
3.35;36.7;0.00;0.38
3.35;36.75;0.00;0.38
3.35;36.8;0.00;0.38
3.35;36.85;0.00;0.38
3.35;36.9;0.00;0.38
3.35;36.95;0.00;0.38
3.35;37;0.00;0.25
3.35;37.05;0.00;0.25
3.35;39.65;0.00;0.63
3.35;39.7;0.00;0.63
3.35;39.75;0.00;0.63
3.35;39.8;0.00;0.38
3.35;39.85;0.00;0.25
3.35;39.9;0.00;0.25
3.35;39.95;0.00;0.38
3.35;40;0.00;0.38
3.35;40.05;0.00;0.50
3.35;40.1;0.00;0.75
3.35;40.15;0.00;0.75
3.35;40.2;0.00;0.63
3.3;39.25;0.50;0.13
3.3;39.4;0.50;0.13
3.3;35.8;0.38;0.00
3.3;35.85;0.38;0.00
3.3;35.9;0.38;0.00
3.3;35.95;0.38;0.00
3.3;36;0.38;0.00
3.3;38.95;0.38;0.13
3.3;39;0.38;0.13
3.3;39.05;0.38;0.13
3.3;39.15;0.38;0.13
3.3;39.2;0.38;0.13
3.3;39.35;0.38;0.13
3.3;40.25;0.38;0.13
3.3;40.35;0.38;0.13
3.3;40.4;0.38;0.13
3.3;40.45;0.38;0.13
3.3;40.8;0.38;0.13
3.3;41.05;0.38;0.13
3.3;41.1;0.38;0.13
3.3;35.7;0.25;0.00
3.3;35.75;0.25;0.00
3.3;37.5;0.25;0.25
3.3;37.55;0.25;0.25
3.3;37.6;0.25;0.25
3.3;37.65;0.25;0.25
3.3;37.7;0.25;0.25
3.3;37.75;0.25;0.25
3.3;37.8;0.25;0.25
3.3;37.85;0.25;0.25
3.3;37.9;0.25;0.13
3.3;37.95;0.25;0.25
3.3;38.2;0.25;0.25
3.3;38.25;0.25;0.25
3.3;38.3;0.25;0.25
3.3;38.35;0.25;0.38
3.3;38.4;0.25;0.38
3.3;38.45;0.25;0.38
3.3;38.5;0.25;0.38
3.3;38.55;0.25;0.25
3.3;38.7;0.25;0.13
3.3;38.75;0.25;0.13
3.3;38.8;0.25;0.13
3.3;38.85;0.25;0.13
3.3;38.9;0.25;0.13
3.3;39.1;0.25;0.13
3.3;39.3;0.25;0.13
3.3;39.45;0.25;0.13
3.3;39.5;0.25;0.13
3.3;39.55;0.25;0.13
3.3;39.6;0.25;0.13
3.3;40.3;0.25;0.13
3.3;40.5;0.25;0.13
3.3;40.55;0.25;0.13
3.3;40.6;0.25;0.13
3.3;40.65;0.25;0.13
3.3;40.7;0.25;0.13
3.3;40.75;0.25;0.13
3.3;40.85;0.25;0.13
3.3;40.9;0.25;0.13
3.3;40.95;0.25;0.13
3.3;41;0.25;0.13
3.3;41.15;0.25;0.13
3.3;41.2;0.25;0.13
3.3;41.25;0.25;0.13
3.3;34.9;0.13;0.00
3.3;34.95;0.13;0.00
3.3;35;0.13;0.00
3.3;35.1;0.13;0.00
3.3;35.15;0.13;0.00
3.3;35.2;0.13;0.00
3.3;35.25;0.13;0.00
3.3;35.3;0.13;0.00
3.3;35.35;0.13;0.00
3.3;35.4;0.13;0.00
3.3;35.45;0.13;0.00
3.3;35.5;0.13;0.00
3.3;35.55;0.13;0.00
3.3;35.6;0.13;0.00
3.3;35.65;0.13;0.00
3.3;37.05;0.13;0.38
3.3;37.1;0.13;0.38
3.3;37.15;0.13;0.13
3.3;37.2;0.13;0.13
3.3;37.25;0.13;0.25
3.3;37.3;0.13;0.13
3.3;37.35;0.13;0.13
3.3;37.4;0.13;0.25
3.3;37.45;0.13;0.25
3.3;38;0.13;0.38
3.3;38.05;0.13;0.25
3.3;38.1;0.13;0.25
3.3;38.15;0.13;0.25
3.3;38.6;0.13;0.25
3.3;38.65;0.13;0.25
3.3;34.7;0.00;0.00
3.3;34.8;0.00;0.00
3.3;34.85;0.00;0.00
3.3;36.05;0.00;0.50
3.3;36.1;0.00;0.38
3.3;36.15;0.00;0.38
3.3;36.2;0.00;0.50
3.3;36.25;0.00;0.50
3.3;36.3;0.00;0.38
3.3;36.35;0.00;0.25
3.3;36.4;0.00;0.25
3.3;36.45;0.00;0.25
3.3;36.5;0.00;0.38
3.3;36.55;0.00;0.38
3.3;36.6;0.00;0.38
3.3;36.65;0.00;0.38
3.3;36.7;0.00;0.38
3.3;36.75;0.00;0.50
3.3;36.8;0.00;0.50
3.3;36.85;0.00;0.38
3.3;36.9;0.00;0.38
3.3;36.95;0.00;0.38
3.3;37;0.00;0.38
3.3;39.65;0.00;0.63
3.3;39.7;0.00;0.50
3.3;39.75;0.00;0.63
3.3;39.8;0.00;0.50
3.3;39.85;0.00;0.50
3.3;39.9;0.00;0.38
3.3;39.95;0.00;0.63
3.3;40;0.00;0.38
3.3;40.05;0.00;0.50
3.3;40.1;0.00;0.75
3.3;40.15;0.00;0.75
3.3;40.2;0.00;0.63
3.25;35.8;0.38;0.00
3.25;35.85;0.38;0.00
